,CarName,Owner,YearofPurchase,Transmission,Model,Distance,Fuel,Price,website,Product_url
561,Maruti Suzuki Alto 800 (2017),--,2010,MANUAL,,34495.0 KM,PETROL,"₹ 3,27,000",olx.in,https://www.olx.in/item/maruti-suzuki-alto-800-2017-petrol-iid-1654328096
562,Mahindra Xuv500 (2017),First,2010,MANUAL,W6 2WD,67614 KM,DIESEL,"₹ 12,00,000",olx.in,https://www.olx.in/item/mahindra-xuv500-2017-diesel-well-maintained-iid-1206503565
563,Ford Figo (2012),First,2016,MANUAL,2010-2012 Diesel Titanium,117638 KM,DIESEL,"₹ 3,00,000",olx.in,https://www.olx.in/item/ford-figo-2012-diesel-117000-km-driven-14-titanium-iid-1652572334
564,Maruti Suzuki Sx4 (2011),1st,2013,MANUAL,2007-2012 ZDI,87000.0 KM,DIESEL,"₹ 4,25,000",olx.in,https://www.olx.in/item/maruti-suzuki-sx4-2007-2012-zdi-2011-diesel-iid-1652731962
565,Maruti Suzuki Swift (2017),1st,2017,MANUAL,VDI Optional,66000.0 KM,DIESEL,"₹ 5,69,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-vdi-optional-2017-diesel-iid-1649279432
566,Hyundai Eon (2015),1st,2017,AUTOMATIC,D Lite Plus,24000.0 KM,PETROL,"₹ 3,25,000",olx.in,https://www.olx.in/item/hyundai-eon-d-lite-plus-2015-petrol-iid-1655082073
567,Maruti Suzuki Vitara Brezza (2017),1st,2011,MANUAL,ZDi Plus,43000.0 KM,DIESEL,"₹ 9,65,000",olx.in,https://www.olx.in/item/maruti-suzuki-vitara-brezza-zdi-plus-2017-diesel-iid-1654295266
568,Hyundai Creta (2018),1st,2009,MANUAL,1.6 SX,53000.0 KM,--,"₹ 14,50,000",olx.in,https://www.olx.in/item/hyundai-creta-16-sx-2018-iid-1653366869
569,Hyundai I10 (2013),1st,2014,MANUAL,Sportz AT,67842.0 KM,PETROL,"₹ 4,20,000",olx.in,https://www.olx.in/item/hyundai-i10-sportz-at-2013-petrol-iid-1647945488
570,Honda Accord (2009),2nd,2019,MANUAL,2.4 Manual,90000.0 KM,CNG & HYBRIDS,"₹ 3,15,000",olx.in,https://www.olx.in/item/honda-accord-24-manual-2009-cng-hybrids-iid-1643077003
571,Honda City (2009),1st,2015,MANUAL,2008-2011 1.5 S MT,90000.0 KM,PETROL,"₹ 2,95,000",olx.in,https://www.olx.in/item/honda-city-15-s-manual-2009-petrol-iid-1610698865
572,Maruti Suzuki Ritz (2011),2nd,2008,MANUAL,2009-2011 VXI ABS,110000.0 KM,DIESEL,"₹ 2,80,000",olx.in,https://www.olx.in/item/maruti-suzuki-ritz-2009-2011-vxi-abs-2011-diesel-iid-1651146591
573,Maruti Suzuki Swift (2012),1st,2012,MANUAL,2011-2014 RS VDI,85000.0 KM,DIESEL,"₹ 3,95,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-2011-2014-rs-vdi-2012-diesel-iid-1641025243
574,Maruti Suzuki Swift Dzire (2018),1st,2011,MANUAL,AMT VXI,34500.0 KM,PETROL,"₹ 6,60,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-dzire-amt-vxi-2018-petrol-iid-1640785555
575,Maruti Suzuki Ritz (2011),2nd,2016,MANUAL,2009-2011 VDi,101000.0 KM,DIESEL,"₹ 2,85,000",olx.in,https://www.olx.in/item/maruti-suzuki-ritz-2009-2011-vdi-2011-diesel-iid-1628825257
576,Tata Manza (2010),2nd,2016,MANUAL,Aura (ABS) Quadrajet BS IV,112000.0 KM,DIESEL,"₹ 2,10,000",olx.in,https://www.olx.in/item/tata-manza-aura-abs-quadrajet-bs-iv-2010-diesel-iid-1621565463
577,Maruti Suzuki Swift (2010),2nd,2013,MANUAL,2004-2010 VXi BSIV,70000.0 KM,PETROL,"₹ 2,50,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-2004-2010-vxi-bsiv-2010-petrol-iid-1621560460
578,Renault Kwid (2016),1st,2013,MANUAL,1,62000.0 KM,PETROL,"₹ 2,57,000",olx.in,https://www.olx.in/item/renault-kwid-1-2016-petrol-iid-1605777757
579,Toyota Innova (2013),1st,2018,MANUAL,2.5 GX (Diesel) 7 Seater,102000.0 KM,DIESEL,"₹ 10,49,500",olx.in,https://www.olx.in/item/toyota-innova-25-gx-diesel-7-seater-2013-diesel-iid-1652076776
580,Hyundai Elite I20 (2017),1st,2016,MANUAL,Sportz 1.2,35.0 KM,PETROL,"₹ 6,02,100",olx.in,https://www.olx.in/item/hyundai-elite-i20-sportz-12-2017-petrol-iid-1653120660
581,Tata Tiago (2017),--,2018,MANUAL,,129130.0 KM,DIESEL,"₹ 3,70,000",olx.in,https://www.olx.in/item/tata-tiago-2017-diesel-iid-1649715953
582,Toyota Etios Liva (2011),Second,2012,MANUAL,Etios Liva G SP*,50000 KM,PETROL,"₹ 3,55,000",olx.in,https://www.olx.in/item/toyota-etios-liva-2011-petrol-iid-1656540427
583,Honda City (2009),Third,2017,MANUAL,2008-2011 1.5 S MT,61867 KM,PETROL,"₹ 1,80,000",olx.in,https://www.olx.in/item/good-condition-honda-city-2009-model-iid-1551264055
584,Chevrolet Beat (2014),1st,2013,MANUAL,LS,45000.0 KM,PETROL,"₹ 1,80,000",olx.in,https://www.olx.in/item/chevrolet-beat-ls-2014-petrol-iid-1654294740
585,Ford Ecosport (2019),1st,2016,MANUAL,1.5 Petrol Titanium,13000.0 KM,PETROL,"₹ 9,25,000",olx.in,https://www.olx.in/item/ford-ecosport-15-petrol-titanium-2019-petrol-iid-1651942735
586,Volkswagen Vento (2015),1st,2011,MANUAL,1.6 Highline,64000.0 KM,PETROL,"₹ 5,05,000",olx.in,https://www.olx.in/item/volkswagen-vento-16-highline-2015-petrol-iid-1651145213
587,Chevrolet Spark (2008),2nd,2014,MANUAL,2007-2012 1.0 LT,67000.0 KM,PETROL,"₹ 1,38,000",olx.in,https://www.olx.in/item/chevrolet-spark-2007-2012-10-lt-2008-petrol-iid-1650407898
588,Maruti Suzuki Alto K10 (2012),2nd,2016,MANUAL,LXI,95380.0 KM,PETROL,"₹ 2,65,000",olx.in,https://www.olx.in/item/maruti-suzuki-alto-k10-lxi-2012-petrol-iid-1647128471
589,Hyundai I10 (2011),2nd,2015,MANUAL,Magna,100000.0 KM,PETROL,"₹ 2,55,000",olx.in,https://www.olx.in/item/hyundai-i10-magna-2011-petrol-iid-1628547898
590,Maruti Suzuki Vitara Brezza (2016),1st,2015,MANUAL,LDi Option,54000.0 KM,DIESEL,"₹ 7,75,000",olx.in,https://www.olx.in/item/maruti-suzuki-vitara-brezza-ldi-option-2016-diesel-iid-1628496941
591,Mahindra Tuv 300 (2016),2nd,2015,MANUAL,T6,56000.0 KM,DIESEL,"₹ 7,10,000",olx.in,https://www.olx.in/item/mahindra-tuv-300-t6-2016-diesel-iid-1622016876
592,Maruti Suzuki Wagon R (2013),1st,2006,MANUAL,VXI,28000.0 KM,PETROL,"₹ 2,85,000",olx.in,https://www.olx.in/item/maruti-suzuki-wagon-r-vxi-2013-petrol-iid-1656035327
593,Maruti Suzuki Wagon R 1.0 (2013),1st,2007,MANUAL,LXi CNG,66000.0 KM,CNG & HYBRIDS,"₹ 2,65,000",olx.in,https://www.olx.in/item/maruti-suzuki-wagon-r-10-lxi-cng-2013-cng-hybrids-iid-1655874387
594,Maruti Suzuki Vitara Brezza (2018),1st,2015,MANUAL,ZDi,33000.0 KM,DIESEL,"₹ 9,45,000",olx.in,https://www.olx.in/item/maruti-suzuki-vitara-brezza-zdi-2018-diesel-iid-1655871654
595,Bmw 5 Series (2016),1st,2019,MANUAL,520d,55000.0 KM,DIESEL,"₹ 24,75,000",olx.in,https://www.olx.in/item/bmw-5-series-520d-2016-diesel-iid-1650409064
